?biological_process	?bp_iri	?expr_genes	?total_genes	?ratio
"positive regulation of NK T cell differentiation"	<http://purl.obolibrary.org/obo/GO_0051138>	1	6	0.166666666666666666666666
"positive regulation of NK T cell proliferation"	<http://purl.obolibrary.org/obo/GO_0051142>	1	6	0.166666666666666666666666
"positive regulation of Rac protein signal transduction"	<http://purl.obolibrary.org/obo/GO_0035022>	1	6	0.166666666666666666666666
"positive regulation of cell adhesion molecule production"	<http://purl.obolibrary.org/obo/GO_0060355>	1	6	0.166666666666666666666666
"positive regulation of cellular pH reduction"	<http://purl.obolibrary.org/obo/GO_0032849>	1	6	0.166666666666666666666666
"positive regulation of chemokine (C-C motif) ligand 5 production"	<http://purl.obolibrary.org/obo/GO_0071651>	1	6	0.166666666666666666666666
"positive regulation of clathrin-dependent endocytosis"	<http://purl.obolibrary.org/obo/GO_2000370>	1	6	0.166666666666666666666666
"positive regulation of extracellular exosome assembly"	<http://purl.obolibrary.org/obo/GO_1903553>	1	6	0.166666666666666666666666
"positive regulation of glucocorticoid receptor signaling pathway"	<http://purl.obolibrary.org/obo/GO_2000324>	1	6	0.166666666666666666666666
"positive regulation of histone H3-K14 acetylation"	<http://purl.obolibrary.org/obo/GO_0071442>	1	6	0.166666666666666666666666
"positive regulation of histone H3-K27 methylation"	<http://purl.obolibrary.org/obo/GO_0061087>	1	6	0.166666666666666666666666
"positive regulation of homotypic cell-cell adhesion"	<http://purl.obolibrary.org/obo/GO_0034112>	1	6	0.166666666666666666666666
"positive regulation of humoral immune response mediated by circulating immunoglobulin"	<http://purl.obolibrary.org/obo/GO_0002925>	1	6	0.166666666666666666666666
"positive regulation of hyaluronan biosynthetic process"	<http://purl.obolibrary.org/obo/GO_1900127>	1	6	0.166666666666666666666666
"positive regulation of inositol 1,4,5-trisphosphate-sensitive calcium-release channel activity"	<http://purl.obolibrary.org/obo/GO_0031587>	1	6	0.166666666666666666666666
"positive regulation of interleukin-1 biosynthetic process"	<http://purl.obolibrary.org/obo/GO_0045362>	1	6	0.166666666666666666666666
"positive regulation of interleukin-12 production"	<http://purl.obolibrary.org/obo/GO_0032735>	7	42	0.166666666666666666666666
"positive regulation of natural killer cell differentiation"	<http://purl.obolibrary.org/obo/GO_0032825>	2	12	0.166666666666666666666666
"positive regulation of natural killer cell mediated cytotoxicity directed against tumor cell target"	<http://purl.obolibrary.org/obo/GO_0002860>	2	12	0.166666666666666666666666
"positive regulation of neutrophil apoptotic process"	<http://purl.obolibrary.org/obo/GO_0033031>	1	6	0.166666666666666666666666
"positive regulation of phosphatidylinositol biosynthetic process"	<http://purl.obolibrary.org/obo/GO_0010513>	1	6	0.166666666666666666666666
"positive regulation of platelet activation"	<http://purl.obolibrary.org/obo/GO_0010572>	1	6	0.166666666666666666666666
"positive regulation of platelet-derived growth factor receptor signaling pathway"	<http://purl.obolibrary.org/obo/GO_0010641>	1	6	0.166666666666666666666666
"positive regulation of sarcomere organization"	<http://purl.obolibrary.org/obo/GO_0060298>	1	6	0.166666666666666666666666
"positive regulation of skeletal muscle cell proliferation"	<http://purl.obolibrary.org/obo/GO_0014858>	1	6	0.166666666666666666666666
"positive regulation of skeletal muscle tissue growth"	<http://purl.obolibrary.org/obo/GO_0048633>	1	6	0.166666666666666666666666
"positive regulation of smooth muscle cell apoptotic process"	<http://purl.obolibrary.org/obo/GO_0034393>	3	18	0.166666666666666666666666
"positive regulation of toll-like receptor 4 signaling pathway"	<http://purl.obolibrary.org/obo/GO_0034145>	2	12	0.166666666666666666666666
"positive regulation of transcription from RNA polymerase II promoter in response to hypoxia"	<http://purl.obolibrary.org/obo/GO_0061419>	1	6	0.166666666666666666666666
"positive regulation of transforming growth factor beta receptor signaling pathway"	<http://purl.obolibrary.org/obo/GO_0030511>	6	36	0.166666666666666666666666
"prevention of polyspermy"	<http://purl.obolibrary.org/obo/GO_0060468>	1	6	0.166666666666666666666666
"protein citrullination"	<http://purl.obolibrary.org/obo/GO_0018101>	2	12	0.166666666666666666666666
"protein localization to cell cortex"	<http://purl.obolibrary.org/obo/GO_0072697>	1	6	0.166666666666666666666666
"quinolinate biosynthetic process"	<http://purl.obolibrary.org/obo/GO_0019805>	1	6	0.166666666666666666666666
"regulation of Ral protein signal transduction"	<http://purl.obolibrary.org/obo/GO_0032485>	1	6	0.166666666666666666666666
"regulation of Rho-dependent protein serine/threonine kinase activity"	<http://purl.obolibrary.org/obo/GO_2000298>	1	6	0.166666666666666666666666
"regulation of acetyl-CoA biosynthetic process from pyruvate"	<http://purl.obolibrary.org/obo/GO_0010510>	1	6	0.166666666666666666666666
"regulation of blood vessel diameter by renin-angiotensin"	<http://purl.obolibrary.org/obo/GO_0002034>	1	6	0.166666666666666666666666
"regulation of caveolin-mediated endocytosis"	<http://purl.obolibrary.org/obo/GO_2001286>	1	6	0.166666666666666666666666
"regulation of membrane depolarization during action potential"	<http://purl.obolibrary.org/obo/GO_0098902>	1	6	0.166666666666666666666666
"regulation of organelle transport along microtubule"	<http://purl.obolibrary.org/obo/GO_1902513>	2	12	0.166666666666666666666666
"regulation of phospholipid catabolic process"	<http://purl.obolibrary.org/obo/GO_0060696>	1	6	0.166666666666666666666666
"regulation of retinal cell programmed cell death"	<http://purl.obolibrary.org/obo/GO_0046668>	1	6	0.166666666666666666666666
"regulation of smooth muscle cell-matrix adhesion"	<http://purl.obolibrary.org/obo/GO_2000097>	1	6	0.166666666666666666666666
"regulation of transforming growth factor beta2 production"	<http://purl.obolibrary.org/obo/GO_0032909>	2	12	0.166666666666666666666666
"renal vesicle formation"	<http://purl.obolibrary.org/obo/GO_0072033>	1	6	0.166666666666666666666666
"response to molecule of fungal origin"	<http://purl.obolibrary.org/obo/GO_0002238>	1	6	0.166666666666666666666666
"response to muscle activity involved in regulation of muscle adaptation"	<http://purl.obolibrary.org/obo/GO_0014873>	1	6	0.166666666666666666666666
"response to peptidoglycan"	<http://purl.obolibrary.org/obo/GO_0032494>	3	18	0.166666666666666666666666
"retinal blood vessel morphogenesis"	<http://purl.obolibrary.org/obo/GO_0061304>	1	6	0.166666666666666666666666
"salivary gland cavitation"	<http://purl.obolibrary.org/obo/GO_0060662>	1	6	0.166666666666666666666666
"sensory perception of sour taste"	<http://purl.obolibrary.org/obo/GO_0050915>	1	6	0.166666666666666666666666
"septin cytoskeleton organization"	<http://purl.obolibrary.org/obo/GO_0032185>	1	6	0.166666666666666666666666
"serotonin metabolic process"	<http://purl.obolibrary.org/obo/GO_0042428>	3	18	0.166666666666666666666666
"smooth muscle cell migration"	<http://purl.obolibrary.org/obo/GO_0014909>	3	18	0.166666666666666666666666
"spermine metabolic process"	<http://purl.obolibrary.org/obo/GO_0008215>	2	12	0.166666666666666666666666
"sphingomyelin biosynthetic process"	<http://purl.obolibrary.org/obo/GO_0006686>	1	6	0.166666666666666666666666
"trachea morphogenesis"	<http://purl.obolibrary.org/obo/GO_0060439>	2	12	0.166666666666666666666666
"trigeminal nerve structural organization"	<http://purl.obolibrary.org/obo/GO_0021637>	1	6	0.166666666666666666666666
"triglyceride mobilization"	<http://purl.obolibrary.org/obo/GO_0006642>	1	6	0.166666666666666666666666
"urea cycle"	<http://purl.obolibrary.org/obo/GO_0000050>	2	12	0.166666666666666666666666
"vagina development"	<http://purl.obolibrary.org/obo/GO_0060068>	2	12	0.166666666666666666666666
"valine catabolic process"	<http://purl.obolibrary.org/obo/GO_0006574>	1	6	0.166666666666666666666666
"antigen processing and presentation of exogenous peptide antigen via MHC class II"	<http://purl.obolibrary.org/obo/GO_0019886>	8	49	0.163265306122448979591836
"G protein-coupled purinergic nucleotide receptor signaling pathway"	<http://purl.obolibrary.org/obo/GO_0035589>	5	31	0.161290322580645161290322
"homeostasis of number of cells within a tissue"	<http://purl.obolibrary.org/obo/GO_0048873>	7	44	0.15909090909090909090909
"NIK/NF-kappaB signaling"	<http://purl.obolibrary.org/obo/GO_0038061>	6	38	0.157894736842105263157894
"amyloid precursor protein catabolic process"	<http://purl.obolibrary.org/obo/GO_0042987>	3	19	0.157894736842105263157894
"filopodium assembly"	<http://purl.obolibrary.org/obo/GO_0046847>	3	19	0.157894736842105263157894
"negative regulation of focal adhesion assembly"	<http://purl.obolibrary.org/obo/GO_0051895>	3	19	0.157894736842105263157894
"positive regulation of SMAD protein signal transduction"	<http://purl.obolibrary.org/obo/GO_0060391>	3	19	0.157894736842105263157894
"positive regulation of astrocyte differentiation"	<http://purl.obolibrary.org/obo/GO_0048711>	3	19	0.157894736842105263157894
"positive regulation of extrinsic apoptotic signaling pathway in absence of ligand"	<http://purl.obolibrary.org/obo/GO_2001241>	3	19	0.157894736842105263157894
"protein localization to cell surface"	<http://purl.obolibrary.org/obo/GO_0034394>	5	32	0.15625
"positive regulation of pathway-restricted SMAD protein phosphorylation"	<http://purl.obolibrary.org/obo/GO_0010862>	9	58	0.155172413793103448275862
"Peyer's patch development"	<http://purl.obolibrary.org/obo/GO_0048541>	2	13	0.153846153846153846153846
"apical protein localization"	<http://purl.obolibrary.org/obo/GO_0045176>	2	13	0.153846153846153846153846
"cardiac vascular smooth muscle cell differentiation"	<http://purl.obolibrary.org/obo/GO_0060947>	2	13	0.153846153846153846153846
"copper ion transmembrane transport"	<http://purl.obolibrary.org/obo/GO_0035434>	2	13	0.153846153846153846153846
"desmosome organization"	<http://purl.obolibrary.org/obo/GO_0002934>	2	13	0.153846153846153846153846
"hepatocyte growth factor receptor signaling pathway"	<http://purl.obolibrary.org/obo/GO_0048012>	2	13	0.153846153846153846153846
"long-chain fatty acid import into cell"	<http://purl.obolibrary.org/obo/GO_0044539>	2	13	0.153846153846153846153846
"negative regulation of protein homooligomerization"	<http://purl.obolibrary.org/obo/GO_0032463>	2	13	0.153846153846153846153846
"negative regulation of ruffle assembly"	<http://purl.obolibrary.org/obo/GO_1900028>	2	13	0.153846153846153846153846
"neuron remodeling"	<http://purl.obolibrary.org/obo/GO_0016322>	2	13	0.153846153846153846153846
"positive regulation of chemokine (C-X-C motif) ligand 2 production"	<http://purl.obolibrary.org/obo/GO_2000343>	2	13	0.153846153846153846153846
"positive regulation of mucus secretion"	<http://purl.obolibrary.org/obo/GO_0070257>	2	13	0.153846153846153846153846
"positive regulation of pseudopodium assembly"	<http://purl.obolibrary.org/obo/GO_0031274>	2	13	0.153846153846153846153846
"positive regulation of transcription by RNA polymerase III"	<http://purl.obolibrary.org/obo/GO_0045945>	2	13	0.153846153846153846153846
"regulation of timing of cell differentiation"	<http://purl.obolibrary.org/obo/GO_0048505>	2	13	0.153846153846153846153846
"retina vasculature morphogenesis in camera-type eye"	<http://purl.obolibrary.org/obo/GO_0061299>	2	13	0.153846153846153846153846
"sphingomyelin catabolic process"	<http://purl.obolibrary.org/obo/GO_0006685>	2	13	0.153846153846153846153846
"sphingosine biosynthetic process"	<http://purl.obolibrary.org/obo/GO_0046512>	2	13	0.153846153846153846153846
"urinary bladder smooth muscle contraction"	<http://purl.obolibrary.org/obo/GO_0014832>	2	13	0.153846153846153846153846
"wound healing, spreading of epidermal cells"	<http://purl.obolibrary.org/obo/GO_0035313>	2	13	0.153846153846153846153846
"cellular response to prostaglandin E stimulus"	<http://purl.obolibrary.org/obo/GO_0071380>	3	20	0.15
"triglyceride homeostasis"	<http://purl.obolibrary.org/obo/GO_0070328>	6	40	0.15
"positive regulation of collagen biosynthetic process"	<http://purl.obolibrary.org/obo/GO_0032967>	7	47	0.148936170212765957446808
"positive regulation of phosphatidylinositol 3-kinase signaling"	<http://purl.obolibrary.org/obo/GO_0014068>	14	94	0.148936170212765957446808
"detection of bacterium"	<http://purl.obolibrary.org/obo/GO_0016045>	4	27	0.148148148148148148148148
"lens morphogenesis in camera-type eye"	<http://purl.obolibrary.org/obo/GO_0002089>	4	27	0.148148148148148148148148
"lymph vessel development"	<http://purl.obolibrary.org/obo/GO_0001945>	4	27	0.148148148148148148148148
"positive regulation of chondrocyte differentiation"	<http://purl.obolibrary.org/obo/GO_0032332>	4	27	0.148148148148148148148148
"positive regulation of glial cell proliferation"	<http://purl.obolibrary.org/obo/GO_0060252>	4	27	0.148148148148148148148148
"positive regulation of osteoblast differentiation"	<http://purl.obolibrary.org/obo/GO_0045669>	12	81	0.148148148148148148148148
"triglyceride biosynthetic process"	<http://purl.obolibrary.org/obo/GO_0019432>	4	27	0.148148148148148148148148
"T cell costimulation"	<http://purl.obolibrary.org/obo/GO_0031295>	5	34	0.147058823529411764705882
"decidualization"	<http://purl.obolibrary.org/obo/GO_0046697>	5	34	0.147058823529411764705882
"extrinsic apoptotic signaling pathway via death domain receptors"	<http://purl.obolibrary.org/obo/GO_0008625>	5	34	0.147058823529411764705882
"regulation of sensory perception of pain"	<http://purl.obolibrary.org/obo/GO_0051930>	10	68	0.147058823529411764705882
"osteoblast differentiation"	<http://purl.obolibrary.org/obo/GO_0001649>	16	111	0.144144144144144144144144
"10-formyltetrahydrofolate metabolic process"	<http://purl.obolibrary.org/obo/GO_0009256>	1	7	0.142857142857142857142857
"3'-phosphoadenosine 5'-phosphosulfate metabolic process"	<http://purl.obolibrary.org/obo/GO_0050427>	1	7	0.142857142857142857142857
"B cell lineage commitment"	<http://purl.obolibrary.org/obo/GO_0002326>	1	7	0.142857142857142857142857
"NADP catabolic process"	<http://purl.obolibrary.org/obo/GO_0006742>	1	7	0.142857142857142857142857
"NMDA glutamate receptor clustering"	<http://purl.obolibrary.org/obo/GO_0097114>	1	7	0.142857142857142857142857
"S-adenosylmethionine cycle"	<http://purl.obolibrary.org/obo/GO_0033353>	1	7	0.142857142857142857142857
"T cell receptor V(D)J recombination"	<http://purl.obolibrary.org/obo/GO_0033153>	1	7	0.142857142857142857142857
"aggresome assembly"	<http://purl.obolibrary.org/obo/GO_0070842>	1	7	0.142857142857142857142857
"apolipoprotein A-I-mediated signaling pathway"	<http://purl.obolibrary.org/obo/GO_0038027>	1	7	0.142857142857142857142857
"astrocyte activation"	<http://purl.obolibrary.org/obo/GO_0048143>	2	14	0.142857142857142857142857
"bone mineralization involved in bone maturation"	<http://purl.obolibrary.org/obo/GO_0035630>	1	7	0.142857142857142857142857
"branchiomotor neuron axon guidance"	<http://purl.obolibrary.org/obo/GO_0021785>	1	7	0.142857142857142857142857
"bud elongation involved in lung branching"	<http://purl.obolibrary.org/obo/GO_0060449>	1	7	0.142857142857142857142857
"bundle of His cell-Purkinje myocyte adhesion involved in cell communication"	<http://purl.obolibrary.org/obo/GO_0086073>	1	7	0.142857142857142857142857
"calcium-mediated signaling using intracellular calcium source"	<http://purl.obolibrary.org/obo/GO_0035584>	4	28	0.142857142857142857142857
"cardiac neural crest cell development involved in outflow tract morphogenesis"	<http://purl.obolibrary.org/obo/GO_0061309>	1	7	0.142857142857142857142857
"carnitine metabolic process"	<http://purl.obolibrary.org/obo/GO_0009437>	2	14	0.142857142857142857142857
"carnitine transport"	<http://purl.obolibrary.org/obo/GO_0015879>	1	7	0.142857142857142857142857
"cell proliferation in hindbrain"	<http://purl.obolibrary.org/obo/GO_0021534>	1	7	0.142857142857142857142857
"cellular response to granulocyte macrophage colony-stimulating factor stimulus"	<http://purl.obolibrary.org/obo/GO_0097011>	2	14	0.142857142857142857142857
"cholesterol esterification"	<http://purl.obolibrary.org/obo/GO_0034435>	1	7	0.142857142857142857142857
"ciliary neurotrophic factor-mediated signaling pathway"	<http://purl.obolibrary.org/obo/GO_0070120>	1	7	0.142857142857142857142857
"convergent extension involved in organogenesis"	<http://purl.obolibrary.org/obo/GO_0060029>	1	7	0.142857142857142857142857
"copper ion import"	<http://purl.obolibrary.org/obo/GO_0015677>	1	7	0.142857142857142857142857
"cytokine secretion involved in immune response"	<http://purl.obolibrary.org/obo/GO_0002374>	1	7	0.142857142857142857142857
"dentinogenesis"	<http://purl.obolibrary.org/obo/GO_0097187>	1	7	0.142857142857142857142857
"detection of diacyl bacterial lipopeptide"	<http://purl.obolibrary.org/obo/GO_0042496>	1	7	0.142857142857142857142857
"dolichol metabolic process"	<http://purl.obolibrary.org/obo/GO_0019348>	1	7	0.142857142857142857142857
"drug export"	<http://purl.obolibrary.org/obo/GO_0046618>	1	7	0.142857142857142857142857
"endocardium development"	<http://purl.obolibrary.org/obo/GO_0003157>	2	14	0.142857142857142857142857
"endocardium morphogenesis"	<http://purl.obolibrary.org/obo/GO_0003160>	1	7	0.142857142857142857142857
